Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,88,7,Some Random Commen with Id 0
1,0,1,194,0,Some Random Commen with Id 1
2,0,1,83,3,Some Random Commen with Id 2
3,1,4,114,6,Some Random Commen with Id 3
4,1,4,160,4,Some Random Commen with Id 4
5,1,4,95,4,Some Random Commen with Id 5
6,1,4,54,7,Some Random Commen with Id 6
7,1,4,4,4,Some Random Commen with Id 7
8,1,4,86,6,Some Random Commen with Id 8
9,1,4,189,4,Some Random Commen with Id 9
10,2,1,96,8,Some Random Commen with Id 10
11,3,8,185,6,Some Random Commen with Id 11
12,4,9,18,0,Some Random Commen with Id 12
13,4,9,40,9,Some Random Commen with Id 13
14,4,9,72,4,Some Random Commen with Id 14
15,4,9,42,4,Some Random Commen with Id 15
16,4,9,137,6,Some Random Commen with Id 16
17,5,5,121,5,Some Random Commen with Id 17
18,5,5,67,0,Some Random Commen with Id 18
19,5,5,51,0,Some Random Commen with Id 19
20,6,4,68,7,Some Random Commen with Id 20
21,6,4,58,6,Some Random Commen with Id 21
22,6,4,68,7,Some Random Commen with Id 22
23,6,4,133,9,Some Random Commen with Id 23
24,7,8,161,5,Some Random Commen with Id 24
25,7,8,103,6,Some Random Commen with Id 25
26,7,8,199,6,Some Random Commen with Id 26
27,7,8,11,4,Some Random Commen with Id 27
28,7,8,116,1,Some Random Commen with Id 28
29,7,8,74,1,Some Random Commen with Id 29
30,7,8,79,2,Some Random Commen with Id 30
31,7,8,10,6,Some Random Commen with Id 31
32,8,6,22,0,Some Random Commen with Id 32
33,8,6,140,0,Some Random Commen with Id 33
34,8,6,125,2,Some Random Commen with Id 34
35,8,6,61,0,Some Random Commen with Id 35
36,8,6,21,7,Some Random Commen with Id 36
37,9,4,93,1,Some Random Commen with Id 37
38,9,4,61,4,Some Random Commen with Id 38
39,9,4,178,0,Some Random Commen with Id 39
40,9,4,153,3,Some Random Commen with Id 40
41,10,1,2,6,Some Random Commen with Id 41
42,10,1,100,0,Some Random Commen with Id 42
43,10,1,199,4,Some Random Commen with Id 43
44,10,1,72,6,Some Random Commen with Id 44
45,11,9,26,5,Some Random Commen with Id 45
46,11,9,65,9,Some Random Commen with Id 46
47,11,9,161,9,Some Random Commen with Id 47
48,11,9,183,4,Some Random Commen with Id 48
49,11,9,151,6,Some Random Commen with Id 49
50,11,9,31,3,Some Random Commen with Id 50
51,11,9,26,7,Some Random Commen with Id 51
52,11,9,199,5,Some Random Commen with Id 52
53,13,6,102,1,Some Random Commen with Id 53
54,14,6,120,4,Some Random Commen with Id 54
55,14,6,136,9,Some Random Commen with Id 55
56,14,6,53,4,Some Random Commen with Id 56
57,14,6,110,6,Some Random Commen with Id 57
58,14,6,162,1,Some Random Commen with Id 58
59,14,6,72,0,Some Random Commen with Id 59
60,15,1,34,7,Some Random Commen with Id 60
61,15,1,31,7,Some Random Commen with Id 61
62,15,1,81,6,Some Random Commen with Id 62
63,15,1,176,8,Some Random Commen with Id 63
64,15,1,45,6,Some Random Commen with Id 64
65,15,1,91,1,Some Random Commen with Id 65
66,15,1,95,9,Some Random Commen with Id 66
67,15,1,93,9,Some Random Commen with Id 67
68,15,1,130,5,Some Random Commen with Id 68
69,16,2,70,0,Some Random Commen with Id 69
70,16,2,14,2,Some Random Commen with Id 70
71,16,2,103,2,Some Random Commen with Id 71
72,16,2,98,0,Some Random Commen with Id 72
73,16,2,124,5,Some Random Commen with Id 73
74,16,2,90,8,Some Random Commen with Id 74
75,17,8,8,1,Some Random Commen with Id 75
76,17,8,195,5,Some Random Commen with Id 76
77,17,8,13,3,Some Random Commen with Id 77
78,17,8,57,2,Some Random Commen with Id 78
79,17,8,88,6,Some Random Commen with Id 79
80,18,6,148,6,Some Random Commen with Id 80
81,18,6,52,5,Some Random Commen with Id 81
82,18,6,11,0,Some Random Commen with Id 82
83,19,6,166,4,Some Random Commen with Id 83
84,19,6,136,5,Some Random Commen with Id 84
85,19,6,150,1,Some Random Commen with Id 85
86,19,6,34,7,Some Random Commen with Id 86
87,20,5,151,7,Some Random Commen with Id 87
88,20,5,134,5,Some Random Commen with Id 88
89,20,5,126,2,Some Random Commen with Id 89
90,20,5,123,7,Some Random Commen with Id 90
91,21,1,13,4,Some Random Commen with Id 91
92,21,1,44,2,Some Random Commen with Id 92
93,21,1,165,0,Some Random Commen with Id 93
94,21,1,122,3,Some Random Commen with Id 94
95,21,1,65,3,Some Random Commen with Id 95
96,21,1,38,7,Some Random Commen with Id 96
97,21,1,91,0,Some Random Commen with Id 97
98,21,1,175,2,Some Random Commen with Id 98
99,21,1,195,9,Some Random Commen with Id 99
100,22,1,5,2,Some Random Commen with Id 100
101,22,1,65,6,Some Random Commen with Id 101
102,22,1,149,9,Some Random Commen with Id 102
103,22,1,185,1,Some Random Commen with Id 103
104,22,1,111,3,Some Random Commen with Id 104
105,22,1,80,5,Some Random Commen with Id 105
106,23,3,155,2,Some Random Commen with Id 106
107,24,1,192,1,Some Random Commen with Id 107
108,24,1,139,8,Some Random Commen with Id 108
109,25,4,39,8,Some Random Commen with Id 109
110,25,4,135,5,Some Random Commen with Id 110
111,25,4,124,2,Some Random Commen with Id 111
112,25,4,178,2,Some Random Commen with Id 112
113,25,4,190,6,Some Random Commen with Id 113
114,25,4,4,3,Some Random Commen with Id 114
115,25,4,2,2,Some Random Commen with Id 115
116,26,6,180,7,Some Random Commen with Id 116
